NAICS  Code,Kind of Business,Jan. 2015,Feb. 2015,Mar. 2015,Apr. 2015,May 2015,Jun. 2015,Jul. 2015,Aug. 2015,Sep. 2015,Oct. 2015,Nov. 2015,Dec. 2015,TOTAL,
,"Retail and food services sales, total","398,555","388,766","446,581","439,993","465,244","450,172","459,960","458,313","432,898","446,746","446,334","518,656","5,352,218",
,Retail sales and food services excl motor vehicle and parts,"319,532","308,588","349,376","345,534","366,995","354,741","361,299","359,485","341,246","355,452","361,409","424,623","4,248,280",
,Retail sales and food services excl gasoline stations,"365,413","356,478","408,972","402,048","422,991","407,293","415,960","416,260","395,206","408,608","412,260","484,982","4,896,471",
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"286,390","276,300","311,767","307,589","324,742","311,862","317,299","317,432","303,554","317,314","327,335","390,949","3,792,533",
,"Retail sales, total","350,466","342,030","393,318","387,581","409,703","398,034","406,760","405,111","382,135","392,721","396,150","464,110","4,728,119",
,"Retail sales, total (excl. motor vehicle and parts dealers)","271,443","261,852","296,113","293,122","311,454","302,603","308,099","306,283","290,483","301,427","311,225","370,077","3,624,181",
,GAFO(1),"90,414","90,578","101,430","97,465","105,988","100,182","102,602","107,975","98,028","103,560","114,934","149,506","1,262,662",
441,Motor vehicle and parts dealers,"79,023","80,178","97,205","94,459","98,249","95,431","98,661","98,828","91,652","91,294","84,925","94,033","1,103,938",
"4411,4412",Automobile and other motor vehicle dealers,"72,372","73,422","89,461","86,739","90,562","87,343","90,443","90,964","84,039","83,332","77,576","86,764","1,013,017",
4411,Automobile dealers,"68,972","69,540","83,389","80,246","83,686","80,548","84,213","85,299","78,873","78,547","73,861","82,337","949,511",
44111,New car dealers,"61,368","60,223","73,806","71,017","74,882","71,952","75,574","76,687","70,953","70,410","66,478","75,068","848,418",
44112,Used car dealers,"7,604","9,317","9,583","9,229","8,804","8,596","8,639","8,612","7,920","8,137","7,383","7,269","101,093",
4413,"Automotive parts, acc., and tire stores","6,651","6,756","7,744","7,720","7,687","8,088","8,218","7,864","7,613","7,962","7,349","7,269","90,921",
"442,443","Furniture, home furn, electronics, and appliance stores","16,017","15,290","16,577","15,457","16,617","16,602","17,104","17,332","17,066","17,030","19,542","23,439","208,073",
442,Furniture and home furnishings stores,"8,028","7,583","8,698","8,349","8,993","8,680","9,227","9,268","9,090","9,235","9,610","11,055","107,816",
4421,Furniture stores,"4,493","4,328","4,844","4,457","4,974","4,739","4,922","5,070","5,138","4,996","5,051","5,279","58,291",
4422,Home furnishings stores,"3,535","3,255","3,854","3,892","4,019","3,941","4,305","4,198","3,952","4,239","4,559","5,776","49,525",
44221,Floor covering stores,"1,391","1,311","1,538","1,655","1,647","1,664","1,787","1,742","1,660","1,799","1,600","1,693","19,487",
442299,All other home furnishings stores,"2,034","1,832","2,181","2,112","2,247","2,156","2,402","2,342","2,176","2,321","2,844","3,966","28,613",
443,Electronics and appliance stores,"7,989","7,707","7,879","7,108","7,624","7,922","7,877","8,064","7,976","7,795","9,932","12,384","100,257",
443141,Household appliance stores,"1,277","1,255","1,422","1,343","1,522","1,533","1,545","1,438","1,470","1,403","1,556","1,610","17,374",
443142,Electronics stores,"6,712","6,452","6,457","5,765","6,102","6,389","6,332","6,626","6,506","6,392","8,376","10,774","82,883",
444,Building mat. and garden equip. and supplies dealers,"20,708","19,470","25,912","30,742","32,454","30,852","29,841","27,107","26,870","27,667","26,075","26,232","323,930",
4441,Building mat. and supplies dealers,"18,481","17,308","22,543","25,266","26,543","26,244","26,289","24,078","23,954","24,370","23,102","22,993","281,171",
44412,Paint and wallpaper stores,684,668,858,923,944,"1,046","1,044",992,977,948,766,730,"10,580",
